component,cumulative_explained_variance
1,0.31560692573546
2,0.4421799834404706
3,0.5504435759703077
4,0.6411160269211877
5,0.7279770288369981
6,0.8041355463859858
7,0.8718443478853541
8,0.9322113436101483
9,0.9654043724738226
10,0.9907944498565385
11,1.0
