model,eps,min_samples,n_clusters,noise_fraction,silhouette,calinski_harabasz,davies_bouldin
dbscan,0.3,5,67,0.9837517433751743,-0.46644542146324214,9.233359558605866,0.931512815308697
dbscan,0.3,10,8,0.9963040446304045,-0.2589356395488583,13.189383656122283,1.1033769630617072
dbscan,0.3,20,1,0.9992677824267783,,,
dbscan,0.6000000000000001,5,110,0.9652370990237099,-0.4870480357492485,11.454548103144566,1.0361847133531938
dbscan,0.6000000000000001,10,15,0.9911087866108786,-0.3718446088728027,18.305938517815758,1.1117746091797576
dbscan,0.6000000000000001,20,1,0.9992677824267783,,,
dbscan,0.9000000000000001,5,216,0.6741283124128312,-0.5057416741790661,12.496835809717552,1.315114556814096
dbscan,0.9000000000000001,10,41,0.8211297071129707,-0.42911072007877843,36.48899600100038,1.4456956660079396
dbscan,0.9000000000000001,20,7,0.9122733612273362,-0.2305236037920839,225.50125906012065,1.5810603067218436
dbscan,1.2000000000000002,5,85,0.23821478382147837,-0.39027635025044705,14.636571246279713,1.3431278512763498
dbscan,1.2000000000000002,10,20,0.34414225941422594,-0.27280178422855433,57.85048423073271,1.7672494281199502
dbscan,1.2000000000000002,20,4,0.47604602510460253,-0.1771618223314146,255.73615790703087,3.145622525257278
dbscan,1.5000000000000002,5,29,0.06342398884239889,-0.18717098909308408,24.429810949741746,1.4123048431069185
dbscan,1.5000000000000002,10,6,0.09354951185495118,-0.012032955700417692,76.50653651849944,2.6233580203045634
dbscan,1.5000000000000002,20,1,0.13765690376569037,,,
dbscan,1.8000000000000003,5,14,0.018444909344490935,-0.019721156649813183,32.95111671484844,1.458574785149755
dbscan,1.8000000000000003,10,4,0.026499302649930265,0.1509584924608233,75.39588483238926,2.628077759073307
dbscan,1.8000000000000003,20,2,0.038249651324965134,0.1744342538999827,134.44588072846548,4.076788767494743
dbscan,2.1,5,6,0.006380753138075314,0.22144263325842495,50.567137870350116,1.7364772475795018
dbscan,2.1,10,2,0.0099023709902371,0.31610957195098516,95.04289169555642,3.253325668491325
dbscan,2.1,20,1,0.014470013947001394,,,
dbscan,2.4000000000000004,5,2,0.0019874476987447698,0.3777923175689479,35.536473951521366,3.1959330151684107
dbscan,2.4000000000000004,10,2,0.0036610878661087866,0.3837889662118849,90.34870332712401,2.5755189070095343
dbscan,2.4000000000000004,20,1,0.005927475592747559,,,
dbscan,2.7,5,2,0.0010111576011157602,0.4215584766725598,34.10313085669426,2.6255735449377986
dbscan,2.7,10,1,0.0015341701534170153,,,
dbscan,2.7,20,1,0.0031380753138075313,,,
dbscan,3.0,5,2,0.00041841004184100416,0.47412460027492853,31.353992024584443,2.2531976200576755
dbscan,3.0,10,1,0.000697350069735007,,,
dbscan,3.0,20,1,0.0012203626220362621,,,
